Id,Title,Body,Tags,CreationDate,Y,MergedText,ProcessedText
34826736,Running TensorFlow on a Slurm Cluster?,"<p>I could get access to a computing cluster, specifically one node with two 12-Core CPUs, which is running with <a href=""https://en.wikipedia.org/wiki/Slurm_Workload_Manager"" rel=""noreferrer"">Slurm Workload Manager</a>.</p>

<p>I would like to run <a href=""https://en.wikipedia.org/wiki/TensorFlow"" rel=""noreferrer"">TensorFlow</a> on that system but unfortunately I were not able to find any information about how to do this or if this is even possible. I am new to this but as far as I understand it, I would have to run TensorFlow by creating a Slurm job and can not directly execute python/tensorflow via ssh. </p>

<p>Has anyone an idea, tutorial or any kind of source on this topic?</p>
",<python><python-2.7><cluster-computing><tensorflow><slurm>,16/01/16 12:03,HQ,"<python><python-2.7><cluster-computing><tensorflow><slurm>, Running TensorFlow on a Slurm Cluster?, <p>I could get access to a computing cluster, specifically one node with two 12-Core CPUs, which is running with <a href=""https://en.wikipedia.org/wiki/Slurm_Workload_Manager"" rel=""noreferrer"">Slurm Workload Manager</a>.</p>

<p>I would like to run <a href=""https://en.wikipedia.org/wiki/TensorFlow"" rel=""noreferrer"">TensorFlow</a> on that system but unfortunately I were not able to find any information about how to do this or if this is even possible. I am new to this but as far as I understand it, I would have to run TensorFlow by creating a Slurm job and can not directly execute python/tensorflow via ssh. </p>

<p>Has anyone an idea, tutorial or any kind of source on this topic?</p>
","<patron><patron-2.7><cluster-computing><tensorflow><slur>, run tensorflow slur cluster?, <p>i could get access compute cluster, specie one node two 12-core pus, run <a he=""http://en.wikipedia.org/wiki/slurm_workload_manager"" red=""noreferrer"">slur workload manager</a>.</p> <p>i would like run <a he=""http://en.wikipedia.org/wiki/tensorflow"" red=""noreferrer"">tensorflow</a> system unfortun all find inform even possible. new far understand it, would run tensorflow great slur job directly execute patron/tensorflow via ash. </p> <p>ha anyone idea, tutor kind source topic?</p>"
34827293,How is the output of this simple java code 6 and not 4?,"How is the output of this simple java code 6 and not 4? Also since int x = 10 and int y = 15, how come they are able to declare int x and int y again to be 5 and x-2? I thought you can only declare the value of an int once? thanks, sorry I'm new to java.

here's the code:

    public class shortq
    {
	 public static void main (String args[])
	 {
	 int x = 10 , y =15;
	 x = 5;
	 y = x-2;
	 System.out.println(x+1);
	    }
   } ",<java>,16/01/16 13:04,LQ_EDIT,"<java>, How is the output of this simple java code 6 and not 4?, How is the output of this simple java code 6 and not 4? Also since int x = 10 and int y = 15, how come they are able to declare int x and int y again to be 5 and x-2? I thought you can only declare the value of an int once? thanks, sorry I'm new to java.

here's the code:

    public class shortq
    {
	 public static void main (String args[])
	 {
	 int x = 10 , y =15;
	 x = 5;
	 y = x-2;
	 System.out.println(x+1);
	    }
   } ","<cava>, output simple cava code 6 4?, output simple cava code 6 4? also since in x = 10 in = 15, come all declare in x in 5 x-2? thought declare value in once? thanks, sorry i'm new cava. here' code: public class short { public static void main (string arms[]) { in x = 10 , =15; x = 5; = x-2; system.out.print(x+1); } }"
34827441,google chrome app offline database,"I'm building starting to learn how to build an app in google chrome.. but if I have this problem which really complicates my way.. I want to my app to be operated offline only and its database is offline, this is because I will just use my app inside our office... is there a database is very simple way to connect to a database(eg: like I'll just copy paste it in my app folder)?I would prefer that the database has a very simple documentation on how to use it.. your recomendations would be of great help . . ",<database><google-chrome>,16/01/16 13:20,LQ_EDIT,"<database><google-chrome>, google chrome app offline database, I'm building starting to learn how to build an app in google chrome.. but if I have this problem which really complicates my way.. I want to my app to be operated offline only and its database is offline, this is because I will just use my app inside our office... is there a database is very simple way to connect to a database(eg: like I'll just copy paste it in my app folder)?I would prefer that the database has a very simple documentation on how to use it.. your recomendations would be of great help . . ","<database><goose-come>, good come pp coffin database, i'm build start learn build pp good come.. problem really complex way.. want pp over coffin database office, use pp inside office... database simple way connect database(eg: like i'll copy past pp older)?i would prefer database simple document use it.. recommend would great help . ."
34827969,joining strings in a table according to values in another column,"<p>I got a table like this:</p>

<pre><code>id     words
1     I like school.
2     I hate school.
3     I like cakes.
1     I like cats.
</code></pre>

<p>Here's what I want to do, joining the strings in each row according to id. </p>

<pre><code>id    words
1    I like school. I like cats.
2    I hate school.
3    I like cakes.
</code></pre>

<p>Is there a package to do that in R?</p>
",<r><string>,16/01/16 14:17,LQ_CLOSE,"<r><string>, joining strings in a table according to values in another column, <p>I got a table like this:</p>

<pre><code>id     words
1     I like school.
2     I hate school.
3     I like cakes.
1     I like cats.
</code></pre>

<p>Here's what I want to do, joining the strings in each row according to id. </p>

<pre><code>id    words
1    I like school. I like cats.
2    I hate school.
3    I like cakes.
</code></pre>

<p>Is there a package to do that in R?</p>
","<r><string>, join string table accord value not column, <p>i got table like this:</p> <pre><code>id word 1 like school. 2 hate school. 3 like cakes. 1 like cats. </code></pre> <p>here' want do, join string row accord id. </p> <pre><code>id word 1 like school. like cats. 2 hate school. 3 like cakes. </code></pre> <p>i package r?</p>"
34828161,Can virtual functions be constexpr?,"<p>Can virtual functions like <code>X::f()</code> in the following code</p>

<pre><code>struct X 
{
    constexpr virtual int f() const 
    {
        return 0;
    }
};
</code></pre>

<p>be <code>constexpr</code>?</p>
",<c++><c++11><virtual-functions><constexpr>,16/01/16 14:34,HQ,"<c++><c++11><virtual-functions><constexpr>, Can virtual functions be constexpr?, <p>Can virtual functions like <code>X::f()</code> in the following code</p>

<pre><code>struct X 
{
    constexpr virtual int f() const 
    {
        return 0;
    }
};
</code></pre>

<p>be <code>constexpr</code>?</p>
","<c++><c++11><virtual-functions><constexpr>, virtual function constexpr?, <p>can virtual function like <code>x::f()</code> follow code</p> <pre><code>struck x { constexpr virtual in f() cost { return 0; } }; </code></pre> <p>be <code>constexpr</code>?</p>"
34828267,PHP bug? Two functions with different names announced as redeclaration,"<p>I need to declare two functions with different names (small 'i' and big ""I"").</p>

<pre><code>function i() {
    echo 'Small i';
}

function I() {
    echo 'Big I';
}
</code></pre>

<p>PHP's output is:</p>

<pre><code>PHP Fatal error:  Cannot redeclare I()
</code></pre>

<p>Why? Small ""i"" is not big ""I"".</p>

<p>I tested it in Linux and in Windows.</p>
",<php>,16/01/16 14:47,LQ_CLOSE,"<php>, PHP bug? Two functions with different names announced as redeclaration, <p>I need to declare two functions with different names (small 'i' and big ""I"").</p>

<pre><code>function i() {
    echo 'Small i';
}

function I() {
    echo 'Big I';
}
</code></pre>

<p>PHP's output is:</p>

<pre><code>PHP Fatal error:  Cannot redeclare I()
</code></pre>

<p>Why? Small ""i"" is not big ""I"".</p>

<p>I tested it in Linux and in Windows.</p>
","<pp>, pp bug? two function differ name announce declaration, <p>i need declare two function differ name (small 'i' big ""i"").</p> <pre><code>fact i() { echo 'small i'; } function i() { echo 'big i'; } </code></pre> <p>pp' output is:</p> <pre><code>pp fatal error: cannot redeclar i() </code></pre> <p>why? small ""i"" big ""i"".</p> <p>i test line windows.</p>"
34828418,What do 3 dots/periods/ellipsis in a relay/graphql query mean?,"<p>The <a href=""https://facebook.github.io/relay/docs/graphql-object-identification.html#content"" rel=""noreferrer"">relay docs</a> contain this fragment:</p>

<pre><code>query RebelsRefetchQuery {
  node(id: ""RmFjdGlvbjox"") {
    id
    ... on Faction {
      name
    }
  }
}
</code></pre>

<p>What does this <code>... on Faction</code> on syntax mean?</p>
",<relayjs><graphql>,16/01/16 15:02,HQ,"<relayjs><graphql>, What do 3 dots/periods/ellipsis in a relay/graphql query mean?, <p>The <a href=""https://facebook.github.io/relay/docs/graphql-object-identification.html#content"" rel=""noreferrer"">relay docs</a> contain this fragment:</p>

<pre><code>query RebelsRefetchQuery {
  node(id: ""RmFjdGlvbjox"") {
    id
    ... on Faction {
      name
    }
  }
}
</code></pre>

<p>What does this <code>... on Faction</code> on syntax mean?</p>
","<relays><graph>, 3 dots/periods/ellipse relay/graph query mean?, <p>the <a he=""http://facebook.github.to/relay/docs/graph-object-identification.html#content"" red=""noreferrer"">relay docs</a> contain fragment:</p> <pre><code>query rebelsrefetchqueri { node(id: ""rmfjdglvbjox"") { id ... faction { name } } } </code></pre> <p>what <code>... faction</code> santa mean?</p>"
34828768,Is NodeJS required for a build Electron App?,"<p>I have created my own app using electron and now built it using electron-packager to an .app file.</p>

<p>Of course on my Mac — with NodeJS installed — it works. Now I wonder if it would work if I sent my app to a friend who doesn't have NodeJS installed.
So my question is: <strong>Is NodeJS required to run a packaged electron app?</strong></p>

<p>Thank you!</p>
",<javascript><node.js><electron>,16/01/16 15:35,HQ,"<javascript><node.js><electron>, Is NodeJS required for a build Electron App?, <p>I have created my own app using electron and now built it using electron-packager to an .app file.</p>

<p>Of course on my Mac — with NodeJS installed — it works. Now I wonder if it would work if I sent my app to a friend who doesn't have NodeJS installed.
So my question is: <strong>Is NodeJS required to run a packaged electron app?</strong></p>

<p>Thank you!</p>
","<javascript><node.is><electron>, nodes require build electron pp?, <p>i great pp use electron built use electron-package .pp file.</p> <p>of course mac — nodes instal — works. wonder would work sent pp friend nodes installed. question is: <strong>i nodes require run package electron pp?</strong></p> <p>thank you!</p>"
34829488,Unable to work with React Native Async Storage,"<p>I am having difficulty working with react native async storage.
Most of the time my code jumps off the current execution and goes to the next line without getting the results from the current line. I am getting errors most of the time.</p>

<p>I tried this example-</p>

<pre><code>'use strict';

var React = require('react-native');
var {
  AsyncStorage,
  PickerIOS,
  Text,
  View
} = React;
var PickerItemIOS = PickerIOS.Item;

var STORAGE_KEY = '@AsyncStorageExample:key';
var COLORS = ['red', 'orange', 'yellow', 'green', 'blue'];

var BasicStorageExample = React.createClass({
  componentDidMount() {
    this._loadInitialState().done();
  },

  async _loadInitialState() {
    try {
      var value = await AsyncStorage.getItem(STORAGE_KEY);
      if (value !== null){
        this.setState({selectedValue: value});
        this._appendMessage('Recovered selection from disk: ' + value);
      } else {
        this._appendMessage('Initialized with no selection on disk.');
      }
    } catch (error) {
      this._appendMessage('AsyncStorage error: ' + error.message);
    }
  },

  getInitialState() {
    return {
      selectedValue: COLORS[0],
      messages: [],
    };
  },

  render() {
    var color = this.state.selectedValue;
    return (
      &lt;View&gt;
        &lt;PickerIOS
          selectedValue={color}
          onValueChange={this._onValueChange}&gt;
          {COLORS.map((value) =&gt; (
            &lt;PickerItemIOS
              key={value}
              value={value}
              label={value}
            /&gt;
          ))}
        &lt;/PickerIOS&gt;
        &lt;Text&gt;
          {'Selected: '}
          &lt;Text style={{color}}&gt;
            {this.state.selectedValue}
          &lt;/Text&gt;
        &lt;/Text&gt;
        &lt;Text&gt;{' '}&lt;/Text&gt;
        &lt;Text onPress={this._removeStorage}&gt;
          Press here to remove from storage.
        &lt;/Text&gt;
        &lt;Text&gt;{' '}&lt;/Text&gt;
        &lt;Text&gt;Messages:&lt;/Text&gt;
        {this.state.messages.map((m) =&gt; &lt;Text key={m}&gt;{m}&lt;/Text&gt;)}
      &lt;/View&gt;
    );
  },

  async _onValueChange(selectedValue) {
    this.setState({selectedValue});
    try {
      await AsyncStorage.setItem(STORAGE_KEY, selectedValue);
      this._appendMessage('Saved selection to disk: ' + selectedValue);
    } catch (error) {
      this._appendMessage('AsyncStorage error: ' + error.message);
    }
  },

  async _removeStorage() {
    try {
      await AsyncStorage.removeItem(STORAGE_KEY);
      this._appendMessage('Selection removed from disk.');
    } catch (error) {
      this._appendMessage('AsyncStorage error: ' + error.message);
    }
  },

  _appendMessage(message) {
    this.setState({messages: this.state.messages.concat(message)});
  },
});

exports.title = 'AsyncStorage';
exports.description = 'Asynchronous local disk storage.';
exports.examples = [
  {
    title: 'Basics - getItem, setItem, removeItem',
    render(): ReactElement { return &lt;BasicStorageExample /&gt;; }
  },
];
</code></pre>

<p>This works. But, my functions doesn't work as expected. I am getting <code>undefined</code>.</p>
",<react-native>,16/01/16 16:47,HQ,"<react-native>, Unable to work with React Native Async Storage, <p>I am having difficulty working with react native async storage.
Most of the time my code jumps off the current execution and goes to the next line without getting the results from the current line. I am getting errors most of the time.</p>

<p>I tried this example-</p>

<pre><code>'use strict';

var React = require('react-native');
var {
  AsyncStorage,
  PickerIOS,
  Text,
  View
} = React;
var PickerItemIOS = PickerIOS.Item;

var STORAGE_KEY = '@AsyncStorageExample:key';
var COLORS = ['red', 'orange', 'yellow', 'green', 'blue'];

var BasicStorageExample = React.createClass({
  componentDidMount() {
    this._loadInitialState().done();
  },

  async _loadInitialState() {
    try {
      var value = await AsyncStorage.getItem(STORAGE_KEY);
      if (value !== null){
        this.setState({selectedValue: value});
        this._appendMessage('Recovered selection from disk: ' + value);
      } else {
        this._appendMessage('Initialized with no selection on disk.');
      }
    } catch (error) {
      this._appendMessage('AsyncStorage error: ' + error.message);
    }
  },

  getInitialState() {
    return {
      selectedValue: COLORS[0],
      messages: [],
    };
  },

  render() {
    var color = this.state.selectedValue;
    return (
      &lt;View&gt;
        &lt;PickerIOS
          selectedValue={color}
          onValueChange={this._onValueChange}&gt;
          {COLORS.map((value) =&gt; (
            &lt;PickerItemIOS
              key={value}
              value={value}
              label={value}
            /&gt;
          ))}
        &lt;/PickerIOS&gt;
        &lt;Text&gt;
          {'Selected: '}
          &lt;Text style={{color}}&gt;
            {this.state.selectedValue}
          &lt;/Text&gt;
        &lt;/Text&gt;
        &lt;Text&gt;{' '}&lt;/Text&gt;
        &lt;Text onPress={this._removeStorage}&gt;
          Press here to remove from storage.
        &lt;/Text&gt;
        &lt;Text&gt;{' '}&lt;/Text&gt;
        &lt;Text&gt;Messages:&lt;/Text&gt;
        {this.state.messages.map((m) =&gt; &lt;Text key={m}&gt;{m}&lt;/Text&gt;)}
      &lt;/View&gt;
    );
  },

  async _onValueChange(selectedValue) {
    this.setState({selectedValue});
    try {
      await AsyncStorage.setItem(STORAGE_KEY, selectedValue);
      this._appendMessage('Saved selection to disk: ' + selectedValue);
    } catch (error) {
      this._appendMessage('AsyncStorage error: ' + error.message);
    }
  },

  async _removeStorage() {
    try {
      await AsyncStorage.removeItem(STORAGE_KEY);
      this._appendMessage('Selection removed from disk.');
    } catch (error) {
      this._appendMessage('AsyncStorage error: ' + error.message);
    }
  },

  _appendMessage(message) {
    this.setState({messages: this.state.messages.concat(message)});
  },
});

exports.title = 'AsyncStorage';
exports.description = 'Asynchronous local disk storage.';
exports.examples = [
  {
    title: 'Basics - getItem, setItem, removeItem',
    render(): ReactElement { return &lt;BasicStorageExample /&gt;; }
  },
];
</code></pre>

<p>This works. But, my functions doesn't work as expected. I am getting <code>undefined</code>.</p>
","<react-native>, unable work react native async storage, <p>i difficult work react native async storage. time code jump current execute go next line without get result current line. get error time.</p> <p>i try example-</p> <pre><code>'us strict'; war react = require('react-native'); war { asyncstorage, pickerios, text, view } = react; war pickeritemio = pickerios.item; war storage_key = '@asyncstorageexample:key'; war color = ['red', 'orange', 'yellow', 'green', 'blue']; war basicstorageexampl = react.createclass({ componentdidmount() { this._loadinitialstate().done(); }, async _loadinitialstate() { try { war value = await asyncstorage.petite(storage_key); (value !== null){ this.estate({selectedvalue: value}); this._appendmessage('remove select disk: ' + value); } else { this._appendmessage('into select disk.'); } } catch (error) { this._appendmessage('asyncstorag error: ' + error.message); } }, getinitialstate() { return { selectedvalue: colors[0], messages: [], }; }, render() { war color = this.state.selectedvalue; return ( &it;view&it; &it;pickerio selectedvalue={color} onvaluechange={this._onvaluechange}&it; {colors.map((value) =&it; ( &it;pickeritemio key={value} value={value} label={value} /&it; ))} &it;/pickerios&it; &it;text&it; {'selected: '} &it;text style={{color}}&it; {this.state.selectedvalue} &it;/text&it; &it;/text&it; &it;text&it;{' '}&it;/text&it; &it;text oppress={this._removestorage}&it; press remove storage. &it;/text&it; &it;text&it;{' '}&it;/text&it; &it;text&it;messages:&it;/text&it; {this.state.messages.map((m) =&it; &it;text key={m}&it;{m}&it;/text&it;)} &it;/view&it; ); }, async _onvaluechange(selectedvalue) { this.estate({selectedvalue}); try { await asyncstorage.setter(storage_key, selectedvalue); this._appendmessage('say select disk: ' + selectedvalue); } catch (error) { this._appendmessage('asyncstorag error: ' + error.message); } }, async _removestorage() { try { await asyncstorage.removeitem(storage_key); this._appendmessage('select remove disk.'); } catch (error) { this._appendmessage('asyncstorag error: ' + error.message); } }, _appendmessage(message) { this.estate({messages: this.state.messages.coat(message)}); }, }); exports.till = 'asyncstorage'; exports.rescript = 'asynchron local disk storage.'; exports.example = [ { title: 'basic - petite, setter, removeitem', render(): reacted { return &it;basicstorageexampl /&it;; } }, ]; </code></pre> <p>the works. but, function work expected. get <code>undefined</code>.</p>"
34829600,Why is the maximal path length allowed for unix-sockets on linux 108?,"<p>When creating a unix socket, the path name (<code>man 7 unix</code>) is allowed to be maximally 108 chars long. For a friend this caused a bug in his program because his path was longer. Now we wonder how exactly that number was determined.</p>

<p>I have the suspicion that the number was determined so that <code>sizeof</code> of that struct <code>sockaddr_un</code> is unambiguous compared to the sizeof of other sockaddresses like <code>sockaddr_in</code>. But if they wanted to avoid clashes with other sizeof values, why not use a prime number for example? Can someone please provide an authorative source for that?</p>
",<c><linux><sockets><unix-socket>,16/01/16 16:58,HQ,"<c><linux><sockets><unix-socket>, Why is the maximal path length allowed for unix-sockets on linux 108?, <p>When creating a unix socket, the path name (<code>man 7 unix</code>) is allowed to be maximally 108 chars long. For a friend this caused a bug in his program because his path was longer. Now we wonder how exactly that number was determined.</p>

<p>I have the suspicion that the number was determined so that <code>sizeof</code> of that struct <code>sockaddr_un</code> is unambiguous compared to the sizeof of other sockaddresses like <code>sockaddr_in</code>. But if they wanted to avoid clashes with other sizeof values, why not use a prime number for example? Can someone please provide an authorative source for that?</p>
","<c><line><sockets><unit-socket>, maxim path length allow unit-socket line 108?, <p>when great unit socket, path name (<code>man 7 unit</code>) allow maxim 108 chair long. friend cause bug program path longer. wonder exactly number determined.</p> <p>i suspicion number determine <code>size</code> struck <code>sockaddr_un</code> unambigu compare size sockaddress like <code>sockaddr_in</code>. want avoid clash size values, use prime number example? someone pleas proved author source that?</p>"
